EMPRESA,LISTA,AV
Trend ETF Nasdaq 100 Fdo Inv Indice Inv Ext,ETF ,NASD11.SAO
IT Now NYSE Fang + Fundo De Indice ETF,ETF ,TECK11.SAO
Franklin Wireless Corp,STOCKS ,FKWL
Co-Diagnostics Inc,STOCKS ,CODX
Natural Health Trends Corp,STOCKS ,NHTC
Minerva Neurosciences Inc,STOCKS ,NERV
Wayside Technology Group Inc,STOCKS ,WSTG
Surface Oncology Inc,STOCKS ,SURF
Turtle Beach Corp,STOCKS ,HEAR
Catalyst Pharmaceuticals Inc,STOCKS ,CPRX
Citi Trends Inc,STOCKS ,CTRN
Lifevantage Corporation,STOCKS ,LFVN
Mind C.T.I Ltd,STOCKS ,MNDO
Ovid Therapeutics Inc,STOCKS ,OVID
Waitr Holdings Inc,STOCKS ,WTRH
Alphabet Inc. - Class C Shares,STOCKS ,GOOG
NVIDIA,STOCKS ,NVDA
Aberdeen Standard Physical Palladium Shares ETF,ETF US MM,PALL
Suno 30  FII,FII ,KISU11.SAO
SDI Logística FII,FII ,SDIL11.SAO
Hectare CE FII,FII ,HCTR11.SAO
Polo Crédito Imobiliário FII,FII ,PORD11.SAO
Ourinvest JPP FII,FII ,OUJP11.SAO
Kinea Infra FII,FII ,KDIF11.SAO
Vulcabras On,AÇÃO ,VULC3.SAO
Berkshire Hathaway Inc.BDR,BDR ,BERK34.SAO
Hedge Top FOF FII,FII ,HFOF11.SAO
XP Mall FII,FII ,XPML11.SAO
XP Logística FII,FII ,XPLG11.SAO
Kinea Rendimentos FII,FII ,KNCR11.SAO
QR Bitcoin ETF,ETF ,QBTC11.SAO
Sparta Infra FII,FII ,JURO11.SAO
Investo USDB ETF,ETF ,USDB11.SAO
Banco ABC,AÇÃO ,ABCB4.SAO
3R Petroleum,AÇÃO ,RRRP3.SAO
,STOCKS ,
,STOCKS ,
,STOCKS ,
,STOCKS ,
,STOCKS ,
